P,C,Q,items,run,time_s,throughput
4,4,1024,200000,1,0.287755,2780139.66
4,4,1024,200000,2,0.312314,2561526.09
4,4,1024,200000,3,0.309147,2587769.55
4,4,1024,200000,4,0.302875,2641351.03
4,4,1024,200000,5,0.278620,2871291.97
4,4,4096,200000,1,0.245658,3256558.18
4,4,4096,200000,2,0.266180,3005484.45
4,4,4096,200000,3,0.232615,3439154.79
4,4,4096,200000,4,0.236222,3386640.35
4,4,4096,200000,5,0.251393,3182273.50
